codigo_municipio;codigo_proyecto;codigo_recurso;año;trimestre;tipo_contraprestacion;valor_contraprestacion;cantidad_producida
5001;1;1;2023;1;REGALIAS;1376849;5543
5001;1;1;2023;2;REGALIAS;6047739;22264
5001;1;2;2023;1;REGALIAS;23502864;133637.04
5001;1;2;2023;2;REGALIAS;2115523;10649.88
5001;1;3;2023;1;REGALIAS;2678874;43070
5001;1;3;2023;2;REGALIAS;2823888;40196
5001;1;4;2023;1;REGALIAS;31589078;283022.4
5001;1;4;2023;2;REGALIAS;35892961;284714.4
5001;1;5;2023;1;REGALIAS;6525312;0.000736
5001;1;6;2023;1;REGALIAS;34475;0.0003
5002;1;1;2023;2;REGALIAS;2088159;7442
5004;1;5;2023;1;REGALIAS;825784;0.000093
5004;1;5;2023;1;REGALIAS;240772;0.000026
5004;1;5;2023;1;REGALIAS;846017;0.000092
5004;1;5;2023;2;REGALIAS;139392;0.000015
5004;1;5;2023;2;REGALIAS;61062;0.000007
5004;1;6;2023;1;REGALIAS;1907;0.000017
5004;1;6;2023;1;REGALIAS;418;0.000004
5004;1;6;2023;1;REGALIAS;1635;0.000014
5004;1;6;2023;2;REGALIAS;186;0.000002
5004;1;6;2023;2;REGALIAS;69;0.000001
5030;1;7;2023;2;REGALIAS;320482568;14678
5030;1;1;2023;1;REGALIAS;1484382;5291
5030;1;1;2023;2;REGALIAS;4591751;16366
5030;1;2;2023;1;REGALIAS;15831359;0
5031;1;8;2023;1;REGALIAS;1889958;1863
5031;1;1;2023;1;REGALIAS;1114483;3972
5031;1;1;2023;2;REGALIAS;2656817;9469
5031;1;9;2023;1;REGALIAS;3554989;3103
5031;1;9;2023;2;REGALIAS;3535305;2732
5031;1;5;2023;1;REGALIAS;61140056;0.006897
5031;1;5;2023;1;REGALIAS;241067063;0.024915
5031;1;5;2023;1;REGALIAS;171289644;0.001782
5031;1;5;2023;2;REGALIAS;207443506;0.021016
5031;1;5;2023;2;REGALIAS;192497954;0.019166
5031;1;5;2023;2;REGALIAS;124181390;0.012886
5031;1;6;2023;1;REGALIAS;113873;0.001112
5031;1;6;2023;1;REGALIAS;209250;0.001819
5031;1;6;2023;1;REGALIAS;129142;0.001167
5031;1;6;2023;2;REGALIAS;325218;0.000308
5031;1;6;2023;2;REGALIAS;174516;0.001547
5031;1;6;2023;2;REGALIAS;150411;0.001322
5034;1;5;2023;1;REGALIAS;5657509;0.00073
5034;1;5;2023;1;REGALIAS;37955826;0.005027
5034;1;5;2023;1;REGALIAS;313382745;0.041301
5034;1;5;2023;2;REGALIAS;235949077;0.030468
5034;1;5;2023;2;REGALIAS;208387806;0.026064
5034;1;5;2023;2;REGALIAS;306771066;0.003433
5034;1;6;2023;1;REGALIAS;4301;0.000046
5034;1;6;2023;1;REGALIAS;69003;0.00073
5034;1;6;2023;1;REGALIAS;218128;0.002346
5034;1;6;2023;2;REGALIAS;339962;0.003943
5034;1;6;2023;2;REGALIAS;152448;0.001647
5034;1;6;2023;2;REGALIAS;447549;0.004013
5036;1;7;2023;2;REGALIAS;88513450;4054
5036;1;10;2023;2;REGALIAS;7661537;5978
5040;1;5;2023;1;REGALIAS;1305418366;0.283556
5040;1;5;2023;1;REGALIAS;898930244;0.185687
5040;1;5;2023;1;REGALIAS;893955125;0.154877
5040;1;5;2023;2;REGALIAS;717588074;0.124597
5040;1;5;2023;2;REGALIAS;520772754;0.090779
5040;1;5;2023;2;REGALIAS;227339761;0.003454
5040;1;6;2023;1;REGALIAS;26587338;0.277844
5040;1;6;2023;1;REGALIAS;897202;0.015308
5040;1;6;2023;1;REGALIAS;798706;0.011671
5040;1;6;2023;2;REGALIAS;728095;0.010382
5040;1;6;2023;2;REGALIAS;641690;0.009863
5040;1;6;2023;2;REGALIAS;404274;0.004399
5040;1;11;2023;1;REGALIAS;3535050;0.000692
5042;1;2;2023;2;REGALIAS;20600506;174733.05
5042;1;2;2023;1;REGALIAS;3501224;29692.98
5042;1;2;2023;2;REGALIAS;3276698;24602.94
5042;1;4;2023;2;REGALIAS;2083287;2464.8
5042;1;5;2023;1;REGALIAS;20802893;0.002387
5042;1;5;2023;1;REGALIAS;43750846;0.000492
5042;1;5;2023;1;REGALIAS;66697251;0.007292
5042;1;5;2023;2;REGALIAS;37588092;0.004102
5042;1;5;2023;2;REGALIAS;73503066;0.007867
5042;1;5;2023;2;REGALIAS;66029186;0.007089
5042;1;6;2023;1;REGALIAS;63595;0.000592
5042;1;6;2023;1;REGALIAS;68040;0.000591
5042;1;6;2023;1;REGALIAS;123214;0.001073
5042;1;6;2023;2;REGALIAS;108840;0.000994
5042;1;6;2023;2;REGALIAS;190708;0.001767
5042;1;6;2023;2;REGALIAS;189457;0.001636
5044;1;5;2023;1;REGALIAS;810525;0.000088
5044;1;5;2023;2;REGALIAS;423727;0.000046
5044;1;5;2023;2;REGALIAS;1264694;0.000136
5044;1;6;2023;1;REGALIAS;1201;0.000011
5044;1;6;2023;2;REGALIAS;342;0.000003
5044;1;6;2023;2;REGALIAS;2356;0.000021
5045;1;1;2023;2;REGALIAS;2513376;28414
5055;1;5;2023;2;REGALIAS;1540008;0.000166
5055;1;6;2023;2;REGALIAS;2078;0.000018
5079;1;2;2023;2;REGALIAS;6816150;64379.1
5079;1;5;2023;1;REGALIAS;5460530;0.000624
5079;1;5;2023;1;REGALIAS;30869227;0.003584
5079;1;5;2023;1;REGALIAS;32666969;0.004048
5079;1;5;2023;2;REGALIAS;33033021;0.003902
5079;1;5;2023;2;REGALIAS;20136669;0.002164
5079;1;5;2023;2;REGALIAS;30262099;0.000344
5079;1;6;2023;1;REGALIAS;275102;0.002587
5079;1;6;2023;1;REGALIAS;325465;0.002951
5079;1;6;2023;1;REGALIAS;632373;0.005551
5079;1;6;2023;2;REGALIAS;391588;0.000362
5079;1;6;2023;2;REGALIAS;550558;0.005155
5079;1;6;2023;2;REGALIAS;385709;0.003356
5086;1;5;2023;1;REGALIAS;422610;0.000058
5086;1;5;2023;1;REGALIAS;650186;0.00009
5086;1;6;2023;1;REGALIAS;847;0.000009
5086;1;6;2023;1;REGALIAS;1077;0.000011
5088;1;2;2023;1;REGALIAS;5133382;29189.16
5088;1;2;2023;2;REGALIAS;6782691;34144.74
5088;1;4;2023;1;REGALIAS;19138966;216427.2
5088;1;4;2023;2;REGALIAS;13277146;105319.2
5088;1;5;2023;1;REGALIAS;1777097;0.000395
5088;1;5;2023;1;REGALIAS;569796;0.000124
